number,value,datetime_start,datetime_complete,duration,params_bidirectional,params_decision_threshold,params_dense_neurons,params_dropout,params_filter_size,params_first_dense_size,params_hidden_size,params_kernel_size,params_learning_rate,params_lr,params_model_type,params_num_dense_layers,params_num_layers,params_num_lstm_layers,system_attrs_completed_rung_0,system_attrs_completed_rung_1,state
46,0.9875074360499703,2025-07-05 17:55:38.841087,2025-07-05 17:56:19.964651,0 days 00:00:41.123564,,0.8,1296.0,0.30000000000000004,,,,,0.001,0.008170971031280803,MLP,,1.0,,5.911403343081474,,COMPLETE
47,0.9952941176470588,2025-07-05 17:56:19.981639,2025-07-05 17:57:03.805246,0 days 00:00:43.823607,,0.7,3069.0,0.30000000000000004,,,,,0.001,0.004993652121516156,MLP,,1.0,,4.155221962369978,,COMPLETE
48,0.05558203672990203,2025-07-05 17:57:03.821172,2025-07-05 17:57:36.058475,0 days 00:00:32.237303,False,0.8,,0.5,,417.0,195.0,,0.001,0.006135539569182278,LSTM,3.0,,1.0,0.05558203672990203,,PRUNED
49,0.0,2025-07-05 17:57:36.096403,2025-07-05 17:59:11.466594,0 days 00:01:35.370191,,0.9,2169.0,0.2,,,,,0.01,0.009925297732750792,MLP,,4.0,,1.7245743619278073,20.54536183178425,COMPLETE
50,0.03771499788854271,2025-07-05 18:05:04.526003,2025-07-05 18:05:24.316102,0 days 00:00:19.790099,,0.8,863.0,0.1,,,,,0.0001,0.0035602705914391363,MLP,,4.0,,0.03771499788854271,,PRUNED
51,0.07481713062890094,2025-07-05 18:05:24.331062,2025-07-05 18:05:42.680423,0 days 00:00:18.349361,,0.9,381.0,0.1,,,,,0.001,0.0005647067557827136,MLP,,1.0,,0.07481713062890094,,PRUNED
52,0.01606271308628493,2025-07-05 18:05:42.718323,2025-07-05 18:06:01.615437,0 days 00:00:18.897114,,0.7,137.0,0.2,24.0,,,4.0,0.003,0.004362082497190724,CNN1D,2.0,2.0,,0.01606271308628493,,PRUNED
53,0.11917309649288654,2025-07-05 18:06:01.657355,2025-07-05 18:06:19.517912,0 days 00:00:17.860557,,0.8,25.0,0.30000000000000004,,,,,0.001,0.00019401496538894544,MLP,,5.0,,0.11917309649288654,,PRUNED
54,0.04132662259507924,2025-07-05 18:06:19.557805,2025-07-05 18:06:43.847032,0 days 00:00:24.289227,False,0.9,,0.1,,255.0,74.0,,0.006,0.0015636043520708444,LSTM,3.0,,2.0,0.04132662259507924,,PRUNED
55,0.9964580873671782,2025-07-05 18:06:43.888926,2025-07-05 18:07:33.009239,0 days 00:00:49.120313,,0.6,3387.0,0.30000000000000004,,,,,0.001,0.004872718679455125,MLP,,1.0,,3.6095389790134504,,COMPLETE
56,1.403749544173479,2025-07-05 18:07:33.030234,2025-07-05 18:08:11.949947,0 days 00:00:38.919713,,0.6,3256.0,0.30000000000000004,,,,,0.001,0.006856424188232814,MLP,,1.0,,5.734274864196777,1.403749544173479,PRUNED
57,0.9795673076923077,2025-07-05 18:08:11.988873,2025-07-05 18:08:56.466228,0 days 00:00:44.477355,,0.5,3928.0,0.4,,,,,0.001,0.008227048911383468,MLP,,1.0,,5.6941899955272675,,COMPLETE
58,0.1553766018629477,2025-07-05 18:08:56.484150,2025-07-05 18:09:34.314104,0 days 00:00:37.829954,,0.5,1919.0,0.30000000000000004,,,,,0.001,0.002278011761027571,MLP,,1.0,,2.070279847830534,0.1553766018629477,PRUNED
59,3.051447497215122,2025-07-05 18:09:34.353031,2025-07-05 18:10:11.560906,0 days 00:00:37.207875,,0.6,1596.0,0.4,,,,,0.0003,0.005636188968752217,MLP,,1.0,,1.9808815839387537,3.051447497215122,PRUNED
60,0.9940898345153665,2025-07-05 18:10:11.600799,2025-07-05 18:11:05.587009,0 days 00:00:53.986210,,0.7,3262.0,0.30000000000000004,,,,,0.001,0.008184468196457158,MLP,,1.0,,6.730499288067222,15.910348892211914,COMPLETE
61,0.017523578931559314,2025-07-05 18:11:05.605482,2025-07-05 18:11:26.780086,0 days 00:00:21.174604,,0.8,2417.0,0.2,,,,,0.003,0.0009306571891366773,MLP,,4.0,,0.017523578931559314,,PRUNED
62,0.10874411537952255,2025-07-05 18:11:26.816987,2025-07-05 18:11:45.625744,0 days 00:00:18.808757,,0.9,1219.0,0.2,,,,,0.001,0.00012115271828975063,MLP,,2.0,,0.10874411537952255,,PRUNED
63,0.1860305290103129,2025-07-05 18:11:45.663673,2025-07-05 18:12:04.245288,0 days 00:00:18.581615,,0.8,917.0,0.1,,,,,0.0001,0.003982690804895339,MLP,,1.0,,0.1860305290103129,,PRUNED
64,0.08802333351923153,2025-07-05 18:12:04.282229,2025-07-05 18:12:29.517243,0 days 00:00:25.235014,,0.7,307.0,0.1,144.0,,,5.0,0.01,0.003285922387615384,CNN1D,1.0,2.0,,0.08802333351923153,,PRUNED
65,0.9976470588235294,2025-07-05 18:12:29.554146,2025-07-05 18:13:18.008430,0 days 00:00:48.454284,,0.7,3148.0,0.30000000000000004,,,,,0.001,0.004814778084789251,MLP,,1.0,,3.548895910382271,,COMPLETE
66,0.9964664310954063,2025-07-05 18:13:18.026695,2025-07-05 18:14:00.458270,0 days 00:00:42.431575,,0.6,1870.0,0.30000000000000004,,,,,0.001,0.004697076754497285,MLP,,1.0,,3.429962863214314,,COMPLETE
67,1.2846461720764637,2025-07-05 18:14:00.474812,2025-07-05 18:14:20.919219,0 days 00:00:20.444407,,0.6,1808.0,0.30000000000000004,,,,,0.001,0.004792890540343118,MLP,,5.0,,1.2846461720764637,,PRUNED
68,0.9838613269575612,2025-07-05 18:14:20.955123,2025-07-05 18:15:05.047017,0 days 00:00:44.091894,,0.6,3354.0,0.30000000000000004,,,,,0.001,0.0067253118426650466,MLP,,1.0,,7.792721912264824,,COMPLETE
69,1.703662931919098,2025-07-05 18:15:05.064003,2025-07-05 18:15:25.743069,0 days 00:00:20.679066,,0.6,3921.0,0.30000000000000004,,,,,0.001,0.004324499072903278,MLP,,1.0,,1.703662931919098,,PRUNED
